mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_loss,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
41.808014917373654,1.6480956189844194,0.0171143531799316,0.005129161310665,0.1,balanced,squared_hinge,2000,"{'C': 0.1, 'class_weight': 'balanced', 'loss': 'squared_hinge', 'max_iter': 2000}",0.7054114983453416,0.699483783179577,0.6996943428959124,0.7019282074101908,0.7011502525087444,0.7015336168679533,0.0021412791305588,1,0.7823457060692742,0.7818257760994323,0.7838768596383074,0.7839508502681192,0.7815799694243044,0.7827158322998875,0.0010092206697346
39.58902091979981,0.6732110141317343,0.0264848232269287,0.0183707172581461,0.05,balanced,squared_hinge,2000,"{'C': 0.05, 'class_weight': 'balanced', 'loss': 'squared_hinge', 'max_iter': 2000}",0.6992085179004033,0.6985460789747198,0.6977999171272227,0.6960825880661299,0.6961204813555598,0.697551516684807,0.0012650789190496,2,0.7554640359457359,0.7547661897226249,0.7566277643823937,0.7563538790734695,0.7548161988960064,0.7556056136040461,0.0007684459244098
48.72206554412842,2.0484364169157545,0.0163257122039794,0.0056761343216302,0.5,balanced,squared_hinge,2000,"{'C': 0.5, 'class_weight': 'balanced', 'loss': 'squared_hinge', 'max_iter': 2000}",0.69810711219038,0.6889375011980271,0.6909255950125729,0.690317767414055,0.6918025437354461,0.6920181039100962,0.0031842525335407,3,0.8549539611084,0.8560828829558222,0.8573101420880578,0.8579085462094351,0.8572732609136093,0.8567057586550648,0.0010574313055404
52.17703800201416,4.15227443971897,0.0187682151794433,0.0074430387649918,1.0,balanced,squared_hinge,2000,"{'C': 1.0, 'class_weight': 'balanced', 'loss': 'squared_hinge', 'max_iter': 2000}",0.6857051588287556,0.6772615846259792,0.6801105233406524,0.6754614168650112,0.6793391963516867,0.6795755760024169,0.0034697173117427,4,0.8876002579267646,0.8895611482145517,0.8894714506309728,0.8898156963800888,0.8900815042937636,0.8893060114892283,0.0008790025997623
25.428462505340576,0.7703741583993906,0.0215275287628173,0.0048963910968901,0.01,balanced,squared_hinge,2000,"{'C': 0.01, 'class_weight': 'balanced', 'loss': 'squared_hinge', 'max_iter': 2000}",0.6676889680108852,0.667449220487743,0.6662903540377613,0.6604302717610023,0.6667112137937481,0.665714005618228,0.002689085056885,5,0.6913487551132109,0.6898327293149231,0.6887102563747306,0.6914435644240567,0.6894078882984535,0.690148638705075,0.0010802375337582
50.89859275817871,4.303389624490914,0.0115828514099121,0.0006674876670675,2.0,balanced,squared_hinge,2000,"{'C': 2.0, 'class_weight': 'balanced', 'loss': 'squared_hinge', 'max_iter': 2000}",0.6686271811761196,0.6658235583191415,0.6645909385857919,0.6607191458073445,0.6653471823398256,0.6650216012456447,0.0025473883864387,6,0.9182400057123734,0.9202689924389048,0.9209160958391532,0.9206344497988616,0.9204504642451352,0.9201020016068858,0.0009552582222168
0.2587857246398926,0.0069206208641159,0.0,0.0,0.01,balanced,hinge,2000,"{'C': 0.01, 'class_weight': 'balanced', 'loss': 'hinge', 'max_iter': 2000}",,,,,,,,7,,,,,,,
0.044190502166748,0.0058702347447113,0.0,0.0,0.05,balanced,hinge,2000,"{'C': 0.05, 'class_weight': 'balanced', 'loss': 'hinge', 'max_iter': 2000}",,,,,,,,7,,,,,,,
0.0336538314819335,0.0067593906987804,0.0,0.0,0.1,balanced,hinge,2000,"{'C': 0.1, 'class_weight': 'balanced', 'loss': 'hinge', 'max_iter': 2000}",,,,,,,,7,,,,,,,
0.0277456283569335,0.0076493235306409,0.0,0.0,0.5,balanced,hinge,2000,"{'C': 0.5, 'class_weight': 'balanced', 'loss': 'hinge', 'max_iter': 2000}",,,,,,,,7,,,,,,,
0.0242057800292968,0.0039160665922136,0.0,0.0,1.0,balanced,hinge,2000,"{'C': 1.0, 'class_weight': 'balanced', 'loss': 'hinge', 'max_iter': 2000}",,,,,,,,7,,,,,,,
0.0245696067810058,0.0048340036387575,0.0,0.0,2.0,balanced,hinge,2000,"{'C': 2.0, 'class_weight': 'balanced', 'loss': 'hinge', 'max_iter': 2000}",,,,,,,,7,,,,,,,
